,Date,Annee,Mois,Concateniser,Payor,Payee,Deposit,Withdrawal,General Leader Number,Debit,Credit,Category,Memo Field,Classification,Retained Copy-only notes,TPS 5%,TVQ 9.5%,0.9132420091,0.9523809524,,,
,2010-09-01,2010,9,2010-9Investissement Employee1,Employee1 Employee1,Investissement de Employee1,7348.86,,,,Investissement Employee1,,Calculé selon l'actif dans l'encaisse et le débit de chaque compte.,,,,,,,GuatemalaQuetzalesRate,,
,2010-09-01,2010,9,2010-9Owners' investment,Employee1 Employee1,Investissement de Employee1,7348.86,,,,Owners' investment,,Calculé selon l'actif dans l'encaisse et le débit de chaque compte.,,,,,,,8,,
1,2010-09-27,2010,9,2010-9Equipments – purchase,Mat,Bureau en Gros,,609.51,,Cash,Equipments – purchase,Equipment,Equipment,projector,,27,42.52,,,,,
,2010-11-04,2010,11,2010-11Publicity,Employee1 Employee1,Copie express,,30.51,,,Publicity,,"unsure what it is but it was during nels, itmight have been printing the inuktitut BAT for me and diana",,,1.33,2.65,,,,,
,2010-11-10,2010,11,2010-11Vehicle expenses,Employee1 Employee1,MAC'S GAS #1282,,51.04,,,Vehicle expenses,,nels gas,,,,,,,,,
,2010-11-13,2010,11,2010-11Vehicle expenses,Employee1 Employee1,Feulco #01172,,43.79,,,Vehicle expenses,,nels gas,,,,,,,,,
,2010-11-13,2010,11,2010-11Vehicle expenses,Employee1 Employee1,SHELL 1450 WOODLAND,,33.73,,,Vehicle expenses,,nels gas,,,,,,,,,
1,2010-11-15,2010,11,2010-11Office supplies,6010,Ikea,,442.89,,Cash,Office supplies,Office supplies,Furniture,Desks and office furniture,,19.62,30.9,,,,,
1,2010-11-25,2010,11,2010-11Office supplies,6010,Ikea,,407.91,,Cash,Office supplies,Office supplies,Furniture,Desks and office furniture,,18.07,28.46,,,,,
1,2010-12-05,2010,12,2010-12Equipments – purchase,6010,Future Shop,,193.01,,Cash,Equipments – purchase,Equipment,Equipment,Monitor #2,,8.55,13.47,,,,,
1,2010-12-16,2010,12,2010-12Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-01-16,2011,1,2011-1Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
