;;;;;Carry over from 2011;;;;;;;;6729.36;ReconstructedFromGnuCash;;;
CD ST-HENRI VILLE-EMARD;81216;"EOP";2012/01/09;;"Depot au GA ??";;;1049.18;;;;;7778.54;ReconstructedFromGnuCash;Sales:PSREMOVED;;
CD ST-HENRI VILLE-EMARD;81216;"EOP";2012/01/24;;"Depot au GA ??";;;500;;;;;8278.54;ReconstructedFromGnuCash;Sales:SREMOVED;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/01/31;;"Frais fixes d'utilisation";;4.95;;;;;;8273.59;ReconstructedFromGnuCash;;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/02/28;;"Frais fixes d'utilisation";;4.95;;;;;;8268.64;ReconstructedFromGnuCash;;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/03/28;;"Virement - AccesD Internet";;1313.2;;;;;;6955.44;ReconstructedFromGnuCash;Payroll:Employee1;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/03/31;;"Frais fixes d'utilisation";;4.95;;;;;;6950.49;ReconstructedFromGnuCash;;;
CD ST-HENRI VILLE-EMARD;"81211";"EOP";2012/04/02;1;"Remise gouvernementale /Retenue a la source fed.";;104.99;;;;;;6845.5;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;"81211";"EOP";2012/04/02;2;"Remise gouvernementale /Retenue a la source Qc.";;225.64;;;;;;6619.86;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;"81211";"EOP";2012/04/02;3;Cheque/no 3;;2069.55;;;;;;4550.31;ReconstructedFromPDFi;Rent:QuoVadis;;
CD ST-HENRI VILLE-EMARD;"81211";"EOP";2012/04/03;4;"Remise gouvernementale TPS-TVQ /Paiement taxes TPS/TVQ";;473.29;;;;;;4077.02;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;"81211";"EOP";2012/04/12;5;Cheque/no 4;;364;;;;;;3713.02;ReconstructedFromPDF;Permits:Employee6;;
CD ST-HENRI VILLE-EMARD;"81211";"EOP";2012/04/23;6;"Virement - AccesD Internet";;;14000;;;;;17713.02;ReconstructedFromPDF;Sharholder:Employee3;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/04/30;;"Frais fixes d'utilisation";;4.95;;;;;;17708.07;ReconstructedFromExpectedMonthlyCharges;;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/05/02;1;Cheque/no 5;;1379.62;;;;;;16328.45;ReconstructedFromPDF;Payroll:Employee8;;
CD ST-HENRI VILLE-EMARD;81212;"EOP";2012/05/03;2;"Remise gouvernementale /Retenue a la source Qc.";;639.88;;;;;;15688.57;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/05/03;3;"Remise gouvernementale /Retenue a la source fed.";;316.68;;;;;;15371.89;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81214;"EOP";2012/05/09;4;"Virement - AccesD Internet";;1352.83;;;;;;14019.06;ReconstructedFromPDF;Payroll:Employee1;;
CD ST-HENRI VILLE-EMARD;81215;"EOP";2012/05/14;5;Cheque/no 6;;1379.62;;;;;;12639.44;ReconstructedFromPDF;Payroll:Employee8;;
CD ST-HENRI VILLE-EMARD;81216;"EOP";2012/05/24;6;Cheque/no 7;;1379.62;;;;;;11259.82;ReconstructedFromPDF;Payroll:Employee8;;
CD ST-HENRI VILLE-EMARD;81217;"EOP";2012/05/31;7;"Virement - AccesD Internet";;4.95;;;;;;11254.87;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81212;"EOP";2012/06/04;1;"Remise gouvernementale /Retenue a la source Qc.";;1919.64;;;;;;9335.23;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/06/04;2;"Remise gouvernementale /Retenue a la source fed.";;950.05;;;;;;8385.18;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/06/04;3;"Virement - AccesD Internet";;1352.83;;;;;;7032.35;ReconstructedFromPDF;Payroll:Employee1;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/06/14;4;"Virement - AccesD Internet";;676.41;;;;;;6355.94;ReconstructedFromPDF;Payroll:Employee1;;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/06/14;5;"Virement - AccesD Internet";;2759.25;;;;;;3596.69;ReconstructedFromPDF;Payroll:Employee8;;
CD ST-HENRI VILLE-EMARD;81216;"EOP";2012/06/25;6;"Virement - AccesD Internet";;;2000;;;;;5596.69;ReconstructedFromPDF;Shareholder:Employee3;;
CD ST-HENRI VILLE-EMARD;81216;"EOP";2012/06/28;7;"Depot au GA /CP PLACE DESJARDINS";;;1500;;;;;7096.69;ReconstructedFromPDF;Sales:CREMOVED;309;
CD ST-HENRI VILLE-EMARD;81211;"EOP";2012/06/29;8;"Frais fixes d'utilisation";;4.95;;;;;;7091.74;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81216;"EOP";2012/07/03;1;Cheque/no 9;;2069.55;;;;;;5022.19;ReconstructedFromPDF;Rent:QuoVadis;;
CD ST-HENRI VILLE-EMARD;81212;"EOP";2012/07/09;2;"Remise gouvernementale /Retenue a la source Qc.";;1279.76;;;;;;3742.43;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/07/09;3;"Remise gouvernementale /Retenue a la source fed.";;633.36;;;;;;3109.07;ReconstructedFromPDF;;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/07/09;4;"Virement - AccesD Internet";;1379.62;;;;;;1729.45;ReconstructedFromPDF;Payroll:Employee8;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/07/09;5;"Virement - AccesD Internet";;676.41;;;;;;1053.04;ReconstructedFromPDF;Payroll:Employee1;;
CD ST-HENRI VILLE-EMARD;81213;"EOP";2012/07/16;6;"Virement - AccesD Internet";;;500;;;;;1553.04;ReconstructedFromPDF;Shareholder:Employee1;;
