CD ST-HENRI,81211,"EOP",2013/02/08,1,"Remise gouvernementale TPS-TVQ /Paiement taxes TPS/TVQ","",6646.31,"","","","","",25145.51,ReconstructedFromPDF
CD ST-HENRI,81211,"EOP",2013/02/11,2,"Cheque",13,1195.77,"","","","","",23949.74,ReconstructedFromPDF,Payroll:Employee1
CD ST-HENRI,81211,"EOP",2013/02/11,3,"Cheque",14,1195.77,"","","","","",22753.97,ReconstructedFromPDF,Payroll:Employee1
CD ST-HENRI,81211,"EOP",2013/02/11,4,"Cheque",15,1195.77,"","","","","",21558.2,ReconstructedFromPDF,Payroll:Employee1
CD ST-HENRI,81211,"EOP",2013/02/11,5,"Cheque",11,619.02,"","","","","",20939.18,ReconstructedFromPDF,Payroll:Employee11
CD ST-HENRI,81211,"EOP",2013/02/13,6,"Cheque",12,586.82,"","","","","",20352.36,ReconstructedFromPDF,Payroll:Employee11
CD ST-HENRI,81211,"EOP",2013/02/14,7,"Remise gouvernementale /Retenue a la source Qc.","",974.23,"","","","","",19378.13,ReconstructedFromPDF
CD ST-HENRI,81211,"EOP",2013/02/14,8,"Remise gouvernementale /Retenue a la source fed.","",472.58,"","","","","",18905.55,ReconstructedFromPDF
CD ST-HENRI,81211,"EOP",2013/02/14,9,"Depot au GA / PLACE DESJARDINS",“”,“”,8423.07,"","","","",27328.62,ReconstructedFromPDF,Sales:WSX,326,8423
CD ST-HENRI,81211,"EOP",2013/02/15,10,"Cheque",17,1028.21,"","","","","",26300.41,ReconstructedFromPDF,Payroll:Employee8
CD ST-HENRI,81211,"EOP",2013/02/19,11,"Depot au GA / PLACE DESJARDINS",“”,“”,1437.19,"","","","",27737.6,ReconstructedFromPDF,Sales:RREMOVED,328
CD ST-HENRI,81211,"EOP",2013/02/19,12,"Cheque",21,1302.64,"","","","","",26434.96,ReconstructedFromPDF,Payroll:Employee8
CD ST-HENRI,81211,"EOP",2013/02/19,13,"Cheque",19,1195.76,"","","","","",25239.2,ReconstructedFromPDF,Payroll:Employee1
CD ST-HENRI,81211,"EOP",2013/02/21,14,"Cheque",20,547.61,"","","","","",24691.59,ReconstructedFromPDF,Payroll:Employee11
CD ST-HENRI,81211,"EOP",2013/02/21,15,"Cheque",16,693.36,"","","","","",23998.23,ReconstructedFromPDF,Payroll:Employee11
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/02/25,16,"Cheque",18,146.1,"","","","","",23852.13,ReconstructedFromPDF,Payroll:Employee2
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/02/28,17,"Frais d'utilisation","",5,"","","","","",23847.13,ReconstructedFromPDF
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/02/28,18,"Frais fixes d'utilisation","",4.95,"","","","","",23842.18,ReconstructedFromPDF
