Date1,AccountNumber2,Payee3,Total,TotalGnucash4,ExpenseGnucash5,Expense,TPSGnucash6,TPS,TVQGnucash7,TVQ,TipsGnucash8,Tips,Currency,Category,CategoryID,Category9,MemoField,Reconciled from
2013-01-16,31944d3aedb7a5e7a87c9aa3f8dae825,BUREAU EN GROS #31,35.71,,,31.06,,1.55,,3.10,,,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,plastic film for whiteboards and white boad markers,Credit card statement
2013-01-16,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO AIRTIME,91.1,,,79.23,,3.96,,7.90,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-01-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-02-17,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,73.03,,,63.52,,3.18,,6.34,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-02-26,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,45,,,39.14,,1.96,,3.90,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-03-04,31944d3aedb7a5e7a87c9aa3f8dae825,LA SOURCE 5438           ,45.98,,,39.99,,2.00,,3.99,,,CAD,Small Electronics,b399fff5b6b10355f27b8687b29ec724,,Samsung Galaxy tab charger,"Paper Receipt, Credit card statement"
2013-03-06,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co 37.74 US DOLLAR,39.69,,,39.69,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-03-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,48.69,,,42.35,,2.12,,4.22,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-03-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-03-18,146246790ca7fd24cd33420800c3a694,Element 14,104.95,,,91.28,,4.56,,9.11,,,CAD,Small Electronics,b399fff5b6b10355f27b8687b29ec724,,"Raspberry PI MODB-512M, Adafruit case (taxes and final total unknown)",Paper Receipt
2013-03-21,31944d3aedb7a5e7a87c9aa3f8dae825,MIKE CONSULAR VISA,531.42,,,531.42,,0.00,,0.00,,,,Travel,2b90b480916be10e12b085956be5ccc2,,Visa for Employee1 for China,Credit card statement
2013-03-22,146246790ca7fd24cd33420800c3a694,Google Play,487.24,,,423.78,,21.19,,42.27,,0,CAD,Androids,c75953b26e4343611a770d806bb1b554,,Nexus 10 tablet,Paper Receipt
2013-04-01,146246790ca7fd24cd33420800c3a694,Future Shop Centreville,209.53,,,182.24,,9.11,,18.18,,,CAD,Small Electronics,b399fff5b6b10355f27b8687b29ec724,,HP 23BW ,Paper Receipt
2013-04-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com           47.68 US DOLLAR,49.26,,,49.26,,0.00,,0.00,,0,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-04-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC         ,46.45,,,40.40,,2.02,,4.03,,,CAD,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-04-06,31944d3aedb7a5e7a87c9aa3f8dae825,SHANGRI-LA HOTEL SHENZHEN    ,47.05,,,47.05,,0.00,,0.00,,0,,Meals,c2182d6f30c059e8c268332c30c26b5b,,,Credit card statement
2013-04-11,31944d3aedb7a5e7a87c9aa3f8dae825,SHANGRI-LA HOTEL SHENZHEN    ,28,,,28.00,,0.00,,0.00,,0,,Meals,c2182d6f30c059e8c268332c30c26b5b,,,Credit card statement
2013-04-12,31944d3aedb7a5e7a87c9aa3f8dae825,SHANGRI-LA HOTEL SHENZHEN    ,19.61,,,19.61,,0.00,,0.00,,0,,Meals,c2182d6f30c059e8c268332c30c26b5b,,,Credit card statement
2013-04-13,31944d3aedb7a5e7a87c9aa3f8dae825,SHANGRI-LA HOTEL SHENZHEN    ,33.89,,,33.89,,0.00,,0.00,,0,,Meals,c2182d6f30c059e8c268332c30c26b5b,,,Credit card statement
2013-04-14,31944d3aedb7a5e7a87c9aa3f8dae825,152.00 RMB small electronics,25.84,,,25.84,,0.00,,0.00,,0,,Small Electronics,b399fff5b6b10355f27b8687b29ec724,,SDCards,Paper Receipt
2013-04-14,31944d3aedb7a5e7a87c9aa3f8dae825,75.00 RMB small electronics,12.75,,,12.75,,0.00,,0.00,,0,,Small Electronics,b399fff5b6b10355f27b8687b29ec724,,Cables and keyboard?,Paper Receipt
2013-04-14,31944d3aedb7a5e7a87c9aa3f8dae825,870.00 RMB tablet,147.9,,,147.90,,0.00,,0.00,,0,,Androids,c75953b26e4343611a770d806bb1b554,,Android 4.2 phone for testing,Paper Receipt
2013-04-15,31944d3aedb7a5e7a87c9aa3f8dae825,SHANGRI-LA HOTEL SHENZHEN    ,56.71,,,56.71,,0.00,,0.00,,0,,Meals,c2182d6f30c059e8c268332c30c26b5b,,,Credit card statement
2013-04-16,31944d3aedb7a5e7a87c9aa3f8dae825,SHANGRI-LA HOTEL SHENZHEN    ,61.98,,,61.98,,0.00,,0.00,,0,,Meals,c2182d6f30c059e8c268332c30c26b5b,,,Credit card statement
2013-04-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH   ,74.27,,,64.60,,3.23,,6.44,,,CAD,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-04-17,31944d3aedb7a5e7a87c9aa3f8dae825,625.00 RMB tablet,106.25,,,106.25,,0.00,,0.00,,0,,Androids,c75953b26e4343611a770d806bb1b554,,Tablet for testing,Paper Receipt
2013-04-19,31944d3aedb7a5e7a87c9aa3f8dae825,7561679 CANADA INC       ,35,,,35.00,,0.00,,0.00,,,,Licenses,3fd8cb454a9cb1e969a7145c1e554916,,,Credit card statement
2013-04-29,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST            ,13.6,,,11.83,,0.59,,1.18,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-05-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com            0.26 US DOLLAR,0.26,,,0.26,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-05-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com           46.24 US DOLLAR,47.7,,,47.70,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-05-04,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC         ,46.45,,,40.40,,2.02,,4.03,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-05-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-05-18,146246790ca7fd24cd33420800c3a694,Walmart,160.78,,,139.84,,6.99,,13.95,,0,CAD,Furniture,f8d9656e0c68baa8c46bd25c8eb2f8cb,,Microwave and toaster for new office,Paper Receipt
2013-05-25,146246790ca7fd24cd33420800c3a694,Ikea,143.66,,,124.95,,6.25,,12.46,,9,CAD,Furniture,f8d9656e0c68baa8c46bd25c8eb2f8cb,,Desk protectors for the office,Paper Receipt
2013-05-27,146246790ca7fd24cd33420800c3a693,BUREAU EN GROS #306,103.44,,,89.97,,4.50,,8.97,,0,CAD,Networking Hardware,fc5bf64f1a519ee39c05e7d9a1a74924,,"Wifi router bought by Josh, reimbursed as cheque 40",Paper Receipt
2013-05-27,146246790ca7fd24cd33420800c3a694,Ikea,3198.63,,,2782.02,,139.10,,277.51,,9,CAD,Furniture,f8d9656e0c68baa8c46bd25c8eb2f8cb,,New furniture for the office,Paper Receipt
2013-05-28,146246790ca7fd24cd33420800c3a694,Home Depot,40.15,,,34.92,,1.75,,3.48,,0,CAD,Office equipment,af71b129304b6b0bea736cf1cf965702,,"Felt Gard for furniture, Reflector, DWKIT",Paper Receipt
2013-06-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services     aws.amazon.com       49.20 US DOLLAR,52.04,,,52.04,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-06-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,66.03,,,57.43,,2.87,,5.73,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-06-08,146246790ca7fd24cd33420800c3a694,BUREAU EN GROS #31,30.94,,,26.91,,1.35,,2.68,,,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,Envelopes and filling sleaves for the filing cabinet,Paper Receipt
2013-06-10,146246790ca7fd24cd33420800c3a694,PHARMAPRIX #0029,20.67,,,17.98,,0.90,,1.79,,0,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,garbage bags for the office,Paper Receipt
2013-06-13,146246790ca7fd24cd33420800c3a694,PHARMAPRIX #0029,13.39,,,11.65,,0.58,,1.16,,,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,plunger,Paper Receipt
2013-06-15,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-06-19,146246790ca7fd24cd33420800c3a694,Canada Poste,18.2,,,15.83,,0.79,,1.58,,,CAD,Postage and Delivery,3511d11000fe2ce747dcf0a36cc06125,,Registered mail to new york,Paper Receipt
2013-06-29,146246790ca7fd24cd33420800c3a694,Canadian Tire Lasalle,158.13,,,137.53,,6.88,,13.72,,0,CAD,Office equipment,af71b129304b6b0bea736cf1cf965702,,"Table, lighter, wrenches for the office",Paper Receipt
2013-07-05,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com           54.66 US DOLLAR,58.72,,,58.72,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-07-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,83.93,,,73.00,,3.65,,7.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-07-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
