Date received,Date in bank account,Date applied,number,Date posted at CRA,Transaction description,notes,Increase,Decrease,Unassociated,2011,2012,2013,2014,2015,2016
,,,,,,,,,0,0,2152.86,0.00,0.00,-120,480.22
2012-01-27,2012-01-27,2012-01-30,1,"Jan 30, 2012",Payment Dec 2011,,30,,,30,,,,,
2012-04-02,2012-04-02,2012-04-02,1,"Apr 02, 2012",Payment Mar 2012,,104.99,,,,104.99,,,,
2012-05-03,2012-05-03,2012-05-04,1,"May 04, 2012",Payment Apr 2012,,316.68,,,,316.68,,,,
2012-06-04,2012-06-04,2012-06-04,1,"June 04, 2012",Payment May 2012,,950.05,,,,950.05,,,,
2012-07-09,2012-07-09,2012-07-10,1,"July 10, 2012",Payment June 2012,,633.36,,,,633.36,,,,
2012-08-01,2012-08-01,2012-08-01,1,"Aug 01, 2012",Payment July 2012,,503.78,,,,503.78,,,,
2012-09-01,2012-09-01,2012-09-01,1,,Missing payment Sept 2012,,0,,,,0,,,,
2012-09-14,2012-09-14,2012-09-14,1,"September 14, 2012",Balance adjustment to 2011,CRA rebalanced our account to where it beloned,,30,,-30,,,,,
2012-10-01,2012-10-01,2012-10-01,1,,Missing payment Oct 2012,,0,,,,0,,,,
2012-12-12,2012-12-12,2012-12-12,1,"Dec 12, 2012",Payment Nov 2012,,1013.72,,,,1013.72,,,,
2012-12-28,2012-12-28,2012-12-31,1,"Dec 31, 2012",Payment Dec 2012,,2152.86,,,,2152.86,,,,
2012-12-28,2012-12-28,2012-12-31,2,"Dec 31, 2012",Payment Dec 2012,Why double? This only shows once in the bank account,2152.86,,,,2152.86,,,,
2013-02-14,2013-02-14,2013-02-15,1,"Feb 15, 2013",Payment Jan 2013,,472.58,,,,,472.58,,,
2013-02-21,2013-02-21,2013-02-21,1,"Feb 21, 2013",T4 Type Information Return 2012,,,5647.21,,,-5647.21,,,,
2013-02-22,2013-02-22,2013-02-22,1,"Feb 22, 2013",Balance adjustment to 2012,CRA rebalanced our account to next year,,28.23,,,-28.23,,,,
2013-02-22,2013-02-22,2013-02-22,1,"Feb 22, 2013",Hiring Credit 2012,,1000,,,,1000,,,,
2013-02-22,2013-02-22,2013-02-22,2,"Feb 22, 2013",Credit transferred from 2012,,,1000,,,-1000,,,,
2013-02-22,2013-02-22,2013-02-22,3,"Feb 22, 2013",Credit transferred to 2013,,1000,,,,,1000,,,
2013-03-07,2013-03-07,2013-03-08,1,"Mar 08, 2013",Payment Feb 2013,,865.6,,,,,865.6,,,
2013-03-28,2013-03-28,2013-03-28,1,"Mar 28, 2013",Refund requested for 2013,Really? Why would we request a refund like that?,,1000,,,,-1000,,,
2013-04-03,2013-04-03,2013-04-04,1,"Apr 04, 2013",Payment Mar 2013,,681.01,,,,,681.01,,,
2013-04-30,2013-04-30,2013-05-01,1,"May 01, 2013",Payment Apr 2013,,549.3,,,,,549.3,,,
2013-06-12,2013-06-12,2013-06-13,1,"June 13, 2013",Payment May 2013,,614.17,,,,,614.17,,,
2013-07-31,2013-07-31,2013-08-01,1,"Aug 01, 2013",Payment June 2013,,1,,,,,1,,,
2013-07-31,2013-07-31,2013-08-01,1,"Aug 01, 2013",Payment July 2013,,1381.79,,,,,1381.79,,,
2013-09-30,2013-09-30,2013-09-30,1,"September 30, 2013",Payment Aug 2013,,1,,,,,1,,,
2013-09-30,2013-09-30,2013-09-30,2,"September 30, 2013",Payment Sept 2013,,900.19,,,,,900.19,,,
2013-11-15,2013-11-15,2013-11-18,1,"Nov 18, 2013",Payment Oct 2013,,324.5,,,,,324.5,,,
2013-12-24,2013-12-24,2013-12-27,1,"Dec 27, 2013",Payment Nov 2013,,1,,,,,1,,,
2013-12-24,2013-12-24,2013-12-27,2,"Dec 27, 2013",Payment Dec 2013,,486.75,,,,,486.75,,,
2014-02-28,2014-02-28,2014-02-28,1,"Feb 28, 2014",T4 Type Information Return 2013,,,6275.88,,,,-6275.88,,,
2014-03-05,2014-03-05,2014-03-05,1,"Mar 05, 2014",Hiring Credit 2013,Why is this only 138?,138.87,,,,,138.87,,,
2014-03-05,2014-03-05,2014-03-05,2,"Mar 05, 2014",Credit transferred from 2013,CRA rebalanced our account to next year,,138.87,,,,-138.87,,,
2014-03-05,2014-03-05,2014-03-05,4,"Mar 05, 2014",Credit transferred to 2014,CRA rebalanced our account to next year,138.87,,,,,,138.87,,
2014-03-05,2014-03-05,2014-03-05,5,"Mar 05, 2014",Balance adjustment to 2013,CRA rebalanced our account to next year,,3.01,,,,-3.01,,,
2014-06-06,2014-06-06,2014-06-06,1,"June 06, 2014",Payment Mar 2014,,1,,,,,,1,,
2014-07-11,2014-07-11,2014-07-14,1,"July 14, 2014",Payment June 2014,,61.14,,,,,,61.14,,
2014-10-15,2014-10-15,2014-10-16,1,"Oct 16, 2014",Payment Sept 2014,,122,,,,,,122,,
2015-01-19,2015-01-19,2015-01-19,1,"Jan 19, 2015",Payment Dec 2014 late,Why 200 was this a guess?,200,,,,,,200,,
2015-03-03,2015-03-03,2015-03-03,1,"Mar 03, 2015",Arrears payment,What is this?,396.8,,396.8,,,,,,
2015-03-10,2015-03-10,2015-03-10,1,"Mar 10, 2015",T4 Type Information Return 2014,This should contain the uncalculated duties for Employee1 at 9999.98 salary,,580.94,,,,,-580.94,,
2015-04-30,2015-04-30,2015-05-01,1,"May 01, 2015",Arrears payment,What is this?,57.93,,57.93,,,,,,
2015-04-30,2015-04-30,2015-05-01,1,"May 01, 2015",Payment Mar 2015 late,,120,,,,,,,,
2015-07-20,2015-07-20,2015-07-21,1,"July 21, 2015",Payment June 2015 late,,91.71,,,,,,,91.71,
2015-11-02,2015-11-02,2015-11-02,1,"Nov 02, 2015",Payment Sept 2015 late,,91.71,,,,,,,91.71,
2015-12-11,2015-12-11,2015-12-11,1,"Dec 11, 2015",Credit transferred from arrears,What is this?,,57.93,-57.93,,,,,,
2015-12-11,2015-12-11,2015-12-11,1,"Dec 11, 2015",Credit transferred to 2014,Why 2014?,57.93,,,,,,57.93,,
2016-01-15,2016-01-15,2016-01-18,1,"Jan 18, 2016",Payment Dec 2015,,435,,,,,,,435,
2016-03-16,2016-03-16,2016-03-16,1,"Mar 16, 2016",T4 Type Information Return 2015,,,382.99,,,,,,-382.99,
2016-03-18,2016-03-18,2016-03-18,1,"Mar 18, 2016",Job credit 2015,Why?,40.61,,,,,,,40.61,
2016-04-08,2016-04-08,2016-04-11,1,"Apr 11, 2016",Payment Mar 2016,,91.71,,,,,,,,91.71
2016-06-01,2016-06-01,,1,,"Missing payment June 2016, requested to transfer the Sept to June",,,,,,,,,,
2016-06-20,2016-06-20,2016-06-20,1,"June 20, 2016",Balance adjustment to 2015,CRA rebalanced our account to next year,,396.04,,,,,,-396.04,
2016-06-20,2016-06-20,2016-06-20,1,"June 20, 2016",Assessed late filing penalty,The bank transactions we set up were not executed after the fusion,,100,-100,,,,,,
2016-06-23,2016-06-23,2016-06-23,1,"June 23, 2016",Credit transferred from penalty and interest,This is a lot of penalties,,296.8,-296.8,,,,,,
2016-06-23,2016-06-23,2016-06-23,1,"June 23, 2016",Credit transferred to 2016,,296.8,,,,,,,,296.8
2016-12-15,2016-12-15,2016-12-16,1,"Dec 16, 2016",Payment Sept 2016 late,,91.71,,,,,,,,91.71
2017-01-02,2017-01-02,,,,Payment Dec 2016 will be,,30.57,,,,,,,,
