Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
2011-11-21,Accounts Receivable,1,PSREMOVED,,,-- Split Transaction --,T,Invoice,N,"C$1,480.00",,"1,480.00",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$1,480.00",,"1,480.00",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$115.94,,-115.94,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$64.96,,-64.96,,1.00
,,,,,,InSpect,S,Invoice,N,,"-C$1,299.10",,"-1,299.10",,1.00
2011-12-01,Accounts Receivable,307,Paradis,,,Aphasia,T,Invoice,Y,C$690.00,,690.00,,,
,,,,,,Accounts Receivable,S,Invoice,Y,C$690.00,,690.00,,1.00,
,,,,,,Aphasia,S,Invoice,Y,,-C$690.00,,-690.00,,1.00
2011-12-02,Accounts Receivable,2118 4549-947,Dr. Paradis – Barbara Vall,"Bilingual Aphasia Test localization, international customers, you are not required to collect GST/HST or PST, provided they take delivery of the goods or services outside of Canada",Dr. Paradis – Barbara Vall,377036,T,Payment,Y,-C$690.00,,-690.00,,,
,,,,,,377036,S,Payment,Y,,C$690.00,,690.00,,1.00
,,,,,Dr. Paradis – Barbara Vall,Accounts Receivable,S,Payment,Y,-C$690.00,,-690.00,,1.00,
2011-12-22,Accounts Receivable,377036,PSREMOVED,Android App - 1st installment was paid to us before we had a bank account,PSREMOVED,377036,T,Payment,N,"-C$1,480.00",,"-1,480.00",,,
,,,,,,377036,S,Payment,N,,"C$1,480.00",,"1,480.00",,1.00
,,,,,PSREMOVED,Accounts Receivable,S,Payment,N,"-C$1,480.00",,"-1,480.00",,1.00,
2012-01-01,Accounts Receivable,2,PSREMOVED,,,-- Split Transaction --,T,Invoice,Y,"C$1,049.18",,"1,049.18",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$1,049.18",,"1,049.18",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$91.02,,-91.02,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$45.63,,-45.63,,1.00
,,,,,,InSpect,S,Invoice,Y,,-C$912.53,,-912.53,,1.00
2012-01-09,Accounts Receivable,308,SREMOVED,,,-- Split Transaction --,T,Invoice,Y,C$500.00,,500.00,,,
,,,,,,Accounts Receivable,S,Invoice,Y,C$500.00,,500.00,,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$43.38,,-43.38,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$21.74,,-21.74,,1.00
,,,,,,Gamify,S,Invoice,Y,,-C$434.88,,-434.88,,1.00
2012-02-09,Accounts Receivable,2,Deposit au GA / PLACE DESJARDINS,PSREMOVED and SREMOVED checks deposited together?,,-- Split Transaction --,T,,N,-C$500.00,,-500.00,,,
,,,,,Deposit au GA / PLACE DESJARDINS,Checking Account,S,Payment,N,,"C$1,549.18",,"1,549.18",,1.00
