Date,Transaction_ID,Number,Description,Notes,Memo,Full_Account_Name,Account_Name,Amount_Num
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,,Expenses:Salaries,ExpoCite,1440
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),30.65
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),133.15
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),19.31
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-109.72
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-141.36
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-66.57
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-8.05
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-21.89
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-1092.41
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-30.65
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-133.15
2013-08-30,b71cc35ae5c51e8b28c5cf2218195acc,4,Employee12,Cheque/no 4,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-19.31
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,,Expenses:Salaries,iField,1923.2
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),187.55
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),179.75
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),25.79
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-184.04
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-230.64
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-89.88
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-10.75
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-28.27
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-1379.62
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-187.55
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-179.75
2012-05-02,a76e8582a50c12b546646d91c1c188d0,1,Employee8,Cheque/no 5,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-25.79
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,PMT 2012-04-19,Expenses:Salaries,iField,800
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),32.93
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),133.74
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),21.46
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,PMT 2012-05-03,Expenses:Salaries,iField,800.01
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-73.14
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-74.7
