"Date";"Account Name";"Number";"Description";"Notes";"Memo";"Category";"Type";"Action";"Reconcile";"To With Sym";"From With Sym";"To Num.";"From Num.";"To Rate/Price";"From Rate/Price"
"2012-01-01";"Cash and Deposit";"";"Bilan 2012-01-01";"";"";"1-Owners investment";"T";"";"N";"C$11,156.97";"";"11,156.97";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$11,156.97";"";"11,156.97";"";"1.00";""
"";"";"";"";"";"";"1-Owners investment";"S";"";"N";"";"-C$11,156.97";"";"-11,156.97";"";"1.00"
"2012-01-01";"Cash and Deposit";"";"Koodo";"";"";"Cell Phone";"T";"";"N";"-C$57.42";"";"-57.42";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$57.42";"";"57.42";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$57.42";"";"-57.42";"";"1.00";""
"2012-01-01";"Cash and Deposit";"";"Fake Pierre app transaction";"";"";"PierreApp";"T";"";"N";"C$34.00";"";"34.00";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$34.00";"";"34.00";"";"1.00";""
"";"";"";"";"";"";"PierreApp";"S";"";"N";"";"-C$34.00";"";"-34.00";"";"1.00"
"2012-01-04";"Cash and Deposit";"";"Gestion Immobiliere Quo Vadis";"";"";"Rent";"T";"";"N";"-C$30.00";"";"-30.00";"";"";""
"";"";"";"";"";"";"Rent";"S";"";"N";"";"C$30.00";"";"30.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$30.00";"";"-30.00";"";"1.00";""
"2012-01-04";"Cash and Deposit";"";"Gestion Immobiliere Quo Vadis";"";"";"Rent";"T";"";"N";"-C$1,980.54";"";"-1,980.54";"";"";""
"";"";"";"";"";"";"Rent";"S";"";"N";"";"C$1,980.54";"";"1,980.54";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,980.54";"";"-1,980.54";"";"1.00";""
"2012-01-06";"Cash and Deposit";"";"Koodo";"";"";"Cell Phone";"T";"";"N";"-C$57.42";"";"-57.42";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$57.42";"";"57.42";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$57.42";"";"-57.42";"";"1.00";""
"2012-01-09";"Cash and Deposit";"";"Future Shop - Office CPU";"";"";"Equipment purchase";"T";"";"N";"-C$423.38";"";"-423.38";"";"";""
"";"";"";"";"";"";"Equipment purchase";"S";"";"N";"";"C$423.38";"";"423.38";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$423.38";"";"-423.38";"";"1.00";""
"2012-01-09";"Cash and Deposit";"";"Future Shop - USB Key";"";"";"Equipment purchase";"T";"";"N";"-C$7.48";"";"-7.48";"";"";""
"";"";"";"";"";"";"Equipment purchase";"S";"";"N";"";"C$7.48";"";"7.48";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$7.48";"";"-7.48";"";"1.00";""
"2012-01-09";"Cash and Deposit";"";"PSREMOVED - 2e installment Android App";"";"";"Sales";"T";"";"N";"C$1,049.18";"";"1,049.18";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$1,049.18";"";"1,049.18";"";"1.00";""
"";"";"";"";"";"";"Sales";"S";"";"N";"";"-C$1,049.18";"";"-1,049.18";"";"1.00"
"2012-01-10";"Cash and Deposit";"";"Employee2 Paycheck for December";"";"";"Employee2 Employee2";"T";"";"N";"-C$386.85";"";"-386.85";"";"";""
"";"";"";"";"";"";"Employee2 Employee2";"S";"";"N";"";"C$386.85";"";"386.85";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$386.85";"";"-386.85";"";"1.00";""
"2012-01-12";"Cash and Deposit";"";"LTD Print Wordle";"";"";"Publicity";"T";"";"N";"-C$139.00";"";"-139.00";"";"";""
"";"";"";"";"";"";"Publicity";"S";"";"N";"";"C$139.00";"";"139.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$139.00";"";"-139.00";"";"1.00";""
"2012-01-14";"Cash and Deposit";"";"Telus";"";"";"Cell Phone";"T";"";"N";"-C$71.77";"";"-71.77";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$71.77";"";"71.77";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$71.77";"";"-71.77";"";"1.00";""
"2012-01-19";"Cash and Deposit";"";"Subway";"";"";"Representation";"T";"";"N";"-C$5.18";"";"-5.18";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$5.18";"";"5.18";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$5.18";"";"-5.18";"";"1.00";""
"2012-01-19";"Cash and Deposit";"";"Ye Olde Orchard Pub";"";"";"Representation";"T";"";"N";"-C$18.00";"";"-18.00";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$18.00";"";"18.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$18.00";"";"-18.00";"";"1.00";""
"2012-01-19";"Cash and Deposit";"";"Grillade du cedre";"";"";"Representation";"T";"";"N";"-C$10.05";"";"-10.05";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$10.05";"";"10.05";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$10.05";"";"-10.05";"";"1.00";""
"2012-01-21";"Cash and Deposit";"";"IKEA - Office Chair";"";"";"Office Furniture";"T";"";"N";"-C$97.71";"";"-97.71";"";"";""
"";"";"";"";"";"";"Office Furniture";"S";"";"N";"";"C$97.71";"";"97.71";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$97.71";"";"-97.71";"";"1.00";""
"2012-01-21";"Cash and Deposit";"";"IKEA - Shelves and Storage supply";"";"";"Office Furniture";"T";"";"N";"-C$155.12";"";"-155.12";"";"";""
"";"";"";"";"";"";"Office Furniture";"S";"";"N";"";"C$155.12";"";"155.12";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$155.12";"";"-155.12";"";"1.00";""
"2012-01-24";"Cash and Deposit";"";"Dr Laura SREMOVED - Training for Psychology";"";"";"Sales";"T";"";"N";"C$500.00";"";"500.00";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$500.00";"";"500.00";"";"1.00";""
"";"";"";"";"";"";"Sales";"S";"";"N";"";"-C$500.00";"";"-500.00";"";"1.00"
"2012-01-27";"Cash and Deposit";"";"Click Imprimerie - Business card";"";"";"Publicity";"T";"";"N";"-C$11.35";"";"-11.35";"";"";""
"";"";"";"";"";"";"Publicity";"S";"";"N";"";"C$11.35";"";"11.35";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$11.35";"";"-11.35";"";"1.00";""
"2012-01-31";"Cash and Deposit";"";"Click Imprimerie";"";"";"Publicity";"T";"";"N";"-C$4.54";"";"-4.54";"";"";""
"";"";"";"";"";"";"Publicity";"S";"";"N";"";"C$4.54";"";"4.54";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$4.54";"";"-4.54";"";"1.00";""
"2012-02-02";"Cash and Deposit";"";"STM";"";"";"Travel";"T";"";"N";"-C$75.50";"";"-75.50";"";"";""
